source,target,probability_mean,probability_std,known_positive,source_type,target_type
Arithmetic_operations,Level_Up,0.6164653815538472,0.19269322007350256,False,NamedIndividual,NamedIndividual
Arithmetic_operations,BLockGame,0.6162974633485859,0.1928794717709026,False,NamedIndividual,NamedIndividual
Arithmetic_operations,Tiny_stash,0.6162974633485859,0.1928794717709026,False,NamedIndividual,NamedIndividual
Arithmetic_operations,Stash,0.6162974633485859,0.1928794717709026,True,NamedIndividual,NamedIndividual
Task_about_Java_Basics,Level_Up,0.6145252492112719,0.20698313866268062,True,NamedIndividual,NamedIndividual
Task_about_Java_Basics,Tiny_stash,0.6144163992089832,0.2071010113542279,False,NamedIndividual,NamedIndividual
Task_about_Java_Basics,Stash,0.6144163992089832,0.2071010113542279,True,NamedIndividual,NamedIndividual
Task_about_Java_Basics,BLockGame,0.6144163992089832,0.2071010113542279,True,NamedIndividual,NamedIndividual
Buil-in_Data_Types,Level_Up,0.5891580865915041,0.15093971131459247,True,NamedIndividual,NamedIndividual
Buil-in_Data_Types,Stash,0.5891109870012026,0.15100049910919597,False,NamedIndividual,NamedIndividual
Buil-in_Data_Types,BLockGame,0.5891109870012026,0.15100049910919597,False,NamedIndividual,NamedIndividual
Buil-in_Data_Types,Tiny_stash,0.5891109870012026,0.15100049910919597,True,NamedIndividual,NamedIndividual
Overloading,Level_Up,0.560126192522794,0.11993051675365496,True,NamedIndividual,NamedIndividual
Overloading,Tiny_stash,0.5600099277026952,0.12008087811431502,False,NamedIndividual,NamedIndividual
Overloading,Stash,0.5600099277026952,0.12008087811431502,False,NamedIndividual,NamedIndividual
Overloading,BLockGame,0.5600099277026952,0.12008087811431502,False,NamedIndividual,NamedIndividual
Variables,Level_Up,0.5585190444318882,0.14434938256055568,True,NamedIndividual,NamedIndividual
Variables,Stash,0.5583735614149203,0.14449563893613163,False,NamedIndividual,NamedIndividual
Variables,BLockGame,0.5583735614149203,0.14449563893613163,False,NamedIndividual,NamedIndividual
Variables,Tiny_stash,0.5583735614149203,0.14449563893613163,True,NamedIndividual,NamedIndividual
Functions,Level_Up,0.555727410740602,0.11435246372995614,False,NamedIndividual,NamedIndividual
Functions,BLockGame,0.5556271318862318,0.11448281619795493,False,NamedIndividual,NamedIndividual
Functions,Tiny_stash,0.5556271318862318,0.11448281619795493,False,NamedIndividual,NamedIndividual
Functions,Stash,0.5556271318862318,0.11448281619795493,True,NamedIndividual,NamedIndividual
Strings,Level_Up,0.5537036327384409,0.11162715376174603,False,NamedIndividual,NamedIndividual
Strings,BLockGame,0.5536011485122141,0.11176132327020812,False,NamedIndividual,NamedIndividual
